core_id,layer_group_id,layer_group_type,duration(us),inst_num,cache_miss,ALU,LT(Cycles),CT(Cycles),iodma_rd(B),iodma_wr(B),shrm_rd(B),shrm_wr(B),broadcast(B)
2,RPAS_7497,STRIDEDSLICE,6.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_7498,STRIDEDSLICE,4.6,96,4,27,0,0,0,128,0,0,0
2,RPAS_8214,NOTIFY,4.56,96,4,27,0,0,0,128,0,0,0
2,RPAS_7499,STRIDEDSLICE,9.88,96,4,27,0,0,0,128,0,0,0
2,RPAS_7500,STRIDEDSLICE,9.8,96,4,27,0,0,0,128,0,0,0
2,RPAS_8215,NOTIFY,4.56,96,4,27,0,0,0,128,0,0,0
2,RPAS_8436,POLL,4.04,96,4,27,0,0,0,128,0,0,0
2,5652,TFU,2688,37670,76,1238,463104,303296,0,128,1073728,4177920,0
2,RPAS_8140,NOTIFY,5.52,96,4,27,0,0,0,128,0,0,0
2,8508,POLL,25.12,140,5,50,0,500,384,256,0,0,0
2,7501,ACTIVE,2011.48,5590,5,1830,0,646738,16386432,16384128,0,0,0
2,8216,NOTIFY,2.84,114,5,35,0,1,128,256,0,0,0
2,RPAS_8437,POLL,2.36,96,4,27,0,0,0,128,0,0,0
2,5653,TFU,2696.48,5935,3,856,347904,309216,0,128,9208320,2048000,0
2,RPAS_8141,NOTIFY,6,96,4,27,0,0,0,128,0,0,0
2,RPAS_8509,POLL,5.72,96,4,27,0,0,0,128,0,0,0
2,RPAS_7502,ACTIVE,5.44,96,4,27,0,0,0,128,0,0,0
